
Simplified 简体	Traditional 繁体	Pinyin 拼音	English 英文	Grammar 语法	Notes 注释
昂		áng	high / expensive	Adjective 形容词	
安静	安靜	ānjìng	quiet / peaceful / calm	Adjective 形容词	
安稳	安穩	ānwěn	smooth and steady	Adjective 形容词	
白		bái	empty / blank / plain / clear	Adjective 形容词	Synonym discussion: in this sense 白 has a similar meaning to 一无所有. For example, 白文 (plain text).
白		bái	outstanding / remarkable	Adjective 形容词	Synonym discussion: in this sense 白 has a similar meaning to 显著.
褒義	褒义	bāoyì	a commendatory term / a positive connotation	Noun 名词	
卑鄙		bēibǐ	base / mean / contemptible / despicable	Adjective 形容词	
卑劣		bēiliè	base / mean / despicable	Adjective 形容词	
本性		běnxìng	natural instincts / nature / inherent quality	Noun 名词	
本质	本質	běnzhì	essence / nature / innate character / intrinsic quality	Noun 名词	
笨重		bènzhòng	heavy / cumbersome / unwieldy	Adjective 形容词	
必		bì	certainly / must / will / necessarily	Adverb 副词	
鄙		bǐ	rustic / low / base / mean	Adjective 形容词	
便		biàn	ordinary / plain / convenient / handy / easy	Adjective 形容词	
便捷		biànjié	convenient and fast	Adjective 形容词	
别无	別無	biéwú	have no other (alternative)	Verb 动词	
秉性		bǐngxìng	innate character / natural disposition / attitude	Noun 名词	
必然		bìrán	inevitable / certain / necessity	Adjective 形容词	
必然		bìrán	inevitably / certainly / necessarily	Adverb 副词	
必要		bìyào	necessary / essential / indispensable / required	Adjective 形容词	
博		bó	extensive / ample / rich / plentiful	Adjective 形容词	
不及		bù jí	not as good as / inferior to	Adjective 形容词	
不错	不錯	búcuò	not bad	Adjective 形容词	
不赖	不賴	bùlài	not bad / good / fine	Adjective 形容词	
不然		bùrán	not so	Adjective 形容词	
不行		bùxíng	no good	Adjective 形容词	
不幸		bùxíng	unfortunate / sad	Adjective 形容词	
不移		bùyí	steadfast / inalienable	Adjective 形容词	
不易		bùyì	not easy to/ difficult / unchanging	Adjective 形容词	
灿	燦	càn	glorious / bright / brilliant / lustrous / resplendent	Adjective 形容词	
苍白	蒼白	cāngbái	pale / wan	Adjective 形容词	
惭愧	慚愧	cánkuì	fortunate	Adjective 形容词	
灿烂	燦爛	cànlàn	brilliant / splendid	Adjective 形容词	
差		chà	bad / poor in qualify	Adjective 形容词	
差不多		chà bu duō	almost / nearly / more or less	Phrase 词组	
差点	差點	chà diǎn	not quite / not good enough / almost	Phrase 词组	
鬯		chàng	unhindered	Adjective 形容词	
猖		chāng	mad / wild	Adjective 形容词	
常规	常規	chángguī	a common practice	Noun 名词	
常见	常見	chángjiàn	common	Adjective 形容词	
猖狂		chāngkuáng	savage / furious	Adjective 形容词	
差事		chàshì	poor / not up to standard	Adjective 形容词	
彻底	徹底	chèdǐ	thorough / complete	Adjective 形容词	
沉		chén	heavy	Adjective 形容词	
澄		chéng	clear / limpid	Adjective 形容词	
